Season,Round,Date,GrandPrix,Circuit,OfficialName,Type,Laps,Distance,CircuitLength
1950,1,1950-05-13,Great Britain,Silverstone,1950 RAC British Grand Prix,Race,70,325.43,4.649
1950,2,1950-05-21,Monaco,Monaco,Grand Prix de Monaco 1950,Street,100,318.1,3.181
1950,3,1950-05-30,Indianapolis,Indianapolis,1950 Indianapolis 500,Race,138,555.224,4.023
1950,4,1950-06-04,Switzerland,Bremgarten,Grosser Preis der Schweiz 1950,Road,42,305.76,7.28
1950,5,1950-06-18,Belgium,Spa-Francorchamps,1950 Belgian Grand Prix,Road,35,494.2,14.12
1950,6,1950-07-02,France,Reims,Grand Prix de France 1950,Road,64,500.16,7.815
1950,7,1950-09-03,Italy,Monza,Gran Premio d'Italia 1950,Race,80,504.0,6.3
1951,1,1951-05-27,Switzerland,Bremgarten,Grosser Preis der Schweiz 1951,Road,42,305.76,7.28
1951,2,1951-05-30,Indianapolis,Indianapolis,1951 Indianapolis 500,Race,200,804.672,4.023
1951,3,1951-06-17,Belgium,Spa-Francorchamps,1951 Belgian Grand Prix,Road,36,508.32,14.12
1951,4,1951-07-01,France,Reims,Grand Prix de France 1951,Road,77,601.755,7.815
1951,5,1951-07-14,Great Britain,Silverstone,1951 RAC British Grand Prix,Race,90,418.41,4.649
1951,6,1951-07-29,Germany,Nurburgring,Grosser Preis von Deutschland 1951,Road,20,456.2,22.81
1951,7,1951-09-16,Italy,Monza,Gran Premio d'Italia 1951,Race,80,504.0,6.3
1951,8,1951-10-28,Spain,Pedralbes,Gran Premio de Espana 1951,Street,70,442.12,6.316
1952,1,1952-05-18,Switzerland,Bremgarten,Grosser Preis der Schweiz 1952,Road,62,451.36,7.28
1952,2,1952-05-30,Indianapolis,Indianapolis,1952 Indianapolis 500,Race,200,804.672,4.023
1952,3,1952-06-22,Belgium,Spa-Francorchamps,1952 Belgian Grand Prix,Road,36,508.32,14.12
1952,4,1952-07-06,France,Rouen-Les-Essarts,Grand Prix de France 1952,Road,77,392.7,5.1
1952,5,1952-07-19,Great Britain,Silverstone,1952 RAC British Grand Prix,Race,85,400.435,4.711
1952,6,1952-08-03,Germany,Nurburgring,Grosser Preis von Deutschland 1952,Road,18,410.58,22.81
1952,7,1952-08-17,Netherlands,Zandvoort,Grote Prijs van Nederland 1952,Race,90,377.37,4.193
1952,8,1952-09-07,Italy,Monza,Gran Premio d'Italia 1952,Race,80,504.0,6.3
1953,1,1953-01-18,Argentina,Buenos Aires,Gran Premio de Argentina 1953,Race,97,379.464,3.912
1953,2,1953-05-30,Indianapolis,Indianapolis,1953 Indianapolis 500,Race,200,804.672,4.023
1953,3,1953-06-07,Netherlands,Zandvoort,Grote Prijs van Nederland 1953,Race,90,377.37,4.193
1953,4,1953-06-21,Belgium,Spa-Francorchamps,1953 Belgian Grand Prix,Road,36,508.32,14.12
1953,5,1953-07-05,France,Reims,Grand Prix de France 1953,Road,60,500.82,8.347
1953,6,1953-07-18,Great Britain,Silverstone,1953 RAC British Grand Prix,Race,90,423.99,4.711
1953,7,1953-08-02,Germany,Nurburgring,Grosser Preis von Deutschland 1953,Road,18,410.58,22.81
1953,8,1953-08-23,Switzerland,Bremgarten,Grosser Preis der Schweiz 1953,Road,65,473.2,7.28
1953,9,1953-09-13,Italy,Monza,Gran Premio d'Italia 1953,Race,80,504.0,6.3
1954,1,1954-01-17,Argentina,Buenos Aires,Gran Premio de Argentina 1954,Race,87,340.344,3.912
1954,2,1954-05-31,Indianapolis,Indianapolis,1954 Indianapolis 500,Race,200,804.672,4.023
1954,3,1954-06-20,Belgium,Spa-Francorchamps,1954 Belgian Grand Prix,Road,36,508.32,14.12
1954,4,1954-07-04,France,Reims,Grand Prix de France 1954,Road,61,506.422,8.302
1954,5,1954-07-17,Great Britain,Silverstone,1954 RAC British Grand Prix,Race,90,423.99,4.711
1954,6,1954-08-01,Germany,Nurburgring,Grosser Preis von Deutschland 1954,Road,22,501.82,22.81
1954,7,1954-08-22,Switzerland,Bremgarten,Grosser Preis der Schweiz 1954,Road,66,480.48,7.28
1954,8,1954-09-05,Italy,Monza,Gran Premio d'Italia 1954,Race,80,504.0,6.3
1954,9,1954-10-24,Spain,Pedralbes,Gran Premio de Espana 1954,Street,80,505.28,6.316
1955,1,1955-01-16,Argentina,Buenos Aires,Gran Premio de Argentina 1955,Race,96,375.552,3.912
1955,2,1955-05-22,Monaco,Monaco,Grand Prix de Monaco 1955,Street,100,314.5,3.145
1955,3,1955-05-30,Indianapolis,Indianapolis,1955 Indianapolis 500,Race,200,804.672,4.023
1955,4,1955-06-05,Belgium,Spa-Francorchamps,1955 Belgian Grand Prix,Road,36,508.32,14.12
1955,5,1955-06-19,Netherlands,Zandvoort,Grote Prijs van Nederland 1955,Race,100,419.3,4.193
1955,6,1955-07-16,Great Britain,Aintree,1955 RAC British Grand Prix,Road,90,434.52,4.828
1955,7,1955-09-11,Italy,Monza,Gran Premio d'Italia 1955,Race,50,500.0,10.0
1956,1,1956-01-22,Argentina,Buenos Aires,Gran Premio de Argentina 1956,Race,98,383.376,3.912
1956,2,1956-05-13,Monaco,Monaco,Grand Prix de Monaco 1956,Street,100,314.5,3.145
1956,3,1956-05-30,Indianapolis,Indianapolis,1956 Indianapolis 500,Race,200,804.672,4.023
1956,4,1956-06-03,Belgium,Spa-Francorchamps,1956 Belgian Grand Prix,Road,36,508.32,14.12
1956,5,1956-07-01,France,Reims,Grand Prix de France 1956,Road,61,506.422,8.302
1956,6,1956-07-14,Great Britain,Silverstone,1956 RAC British Grand Prix,Race,101,475.811,4.711
1956,7,1956-08-05,Germany,Nurburgring,Grosser Preis von Deutschland 1956,Road,22,501.82,22.81
1956,8,1956-09-02,Italy,Monza,Gran Premio d'Italia 1956,Race,50,500.0,10.0
1957,1,1957-01-13,Argentina,Buenos Aires,Gran Premio de Argentina 1957,Race,100,391.2,3.912
1957,2,1957-05-19,Monaco,Monaco,Grand Prix de Monaco 1957,Street,105,330.225,3.145
1957,3,1957-05-30,Indianapolis,Indianapolis,1957 Indianapolis 500,Race,200,804.672,4.023
1957,4,1957-07-07,France,Rouen-Les-Essarts,Grand Prix de France 1957,Road,77,503.734,6.542
1957,5,1957-07-20,Great Britain,Aintree,1957 RAC British Grand Prix,Road,90,434.52,4.828
1957,6,1957-08-04,Germany,Nurburgring,Grosser Preis von Deutschland 1957,Road,22,501.82,22.81
1957,7,1957-08-18,Pescara,Pescara,Gran Premio di Pescara 1957,Road,18,463.14,25.73
1957,8,1957-09-08,Italy,Monza,Gran Premio d'Italia 1957,Race,87,500.25,5.75
1958,1,1958-01-19,Argentina,Buenos Aires,Gran Premio de Argentina 1958,Race,80,312.96,3.912
1958,2,1958-05-18,Monaco,Monaco,Grand Prix de Monaco 1958,Street,100,314.5,3.145
1958,3,1958-05-26,Netherlands,Zandvoort,Grote Prijs van Nederland 1958,Race,75,314.475,4.193
1958,4,1958-05-30,Indianapolis,Indianapolis,1958 Indianapolis 500,Race,200,804.672,4.023
1958,5,1958-06-15,Belgium,Spa-Francorchamps,1958 Belgian Grand Prix,Road,24,338.88,14.12
1958,6,1958-07-06,France,Reims,Grand Prix de France 1958,Road,50,415.1,8.302
1958,7,1958-07-19,Great Britain,Silverstone,1958 RAC British Grand Prix,Race,75,353.325,4.711
1958,8,1958-08-03,Germany,Nurburgring,Grosser Preis von Deutschland 1958,Road,15,342.15,22.81
1958,9,1958-08-24,Portugal,Porto,Grande Premio de Portugal 1958,Street,50,370.0,7.4
1958,10,1958-09-07,Italy,Monza,Gran Premio d'Italia 1958,Race,70,402.5,5.75
1958,11,1958-10-19,Morocco,Ain-Diab,1958 Morocco Grand Prix,Road,53,403.754,7.618
1959,1,1959-05-10,Monaco,Monaco,Grand Prix de Monaco 1959,Street,100,314.5,3.145
1959,2,1959-05-30,Indianapolis,Indianapolis,1959 Indianapolis 500,Race,200,804.672,4.023
1959,3,1959-05-31,Netherlands,Zandvoort,Grote Prijs van Nederland 1959,Race,75,314.475,4.193
1959,4,1959-07-05,France,Reims,Grand Prix de France 1959,Road,50,417.4,8.348
1959,5,1959-07-18,Great Britain,Aintree,1959 RAC British Grand Prix,Road,75,362.1,4.828
1959,6,1959-08-02,Germany,Avus,Grosser Preis von Deutschland 1959,Road,60,498.0,8.3
1959,7,1959-08-23,Portugal,Monsanto,Grande Premio de Portugal 1959,Street,62,337.28,5.44
1959,8,1959-09-13,Italy,Monza,Gran Premio d'Italia 1959,Race,72,414.0,5.75
1959,9,1959-12-12,United States,Sebring,1959 United States Grand Prix,Road,42,351.12,8.36
1960,1,1960-02-07,Argentina,Buenos Aires,Gran Premio de Argentina 1960,Race,80,312.96,3.912
1960,2,1960-05-29,Monaco,Monaco,Grand Prix de Monaco 1960,Street,100,314.5,3.145
1960,3,1960-05-30,Indianapolis,Indianapolis,1960 Indianapolis 500,Race,200,804.672,4.023
1960,4,1960-06-06,Netherlands,Zandvoort,Grote Prijs van Nederland 1960,Race,75,314.475,4.193
1960,5,1960-06-19,Belgium,Spa-Francorchamps,1960 Belgian Grand Prix,Road,36,508.32,14.12
1960,6,1960-07-03,France,Reims,Grand Prix de France 1960,Road,50,417.4,8.348
1960,7,1960-07-16,Great Britain,Silverstone,1960 RAC British Grand Prix,Race,77,362.747,4.711
1960,8,1960-08-14,Portugal,Porto,Grande Premio de Portugal 1960,Street,55,407.0,7.4
1960,9,1960-09-04,Italy,Monza,Gran Premio d'Italia 1960,Race,50,500.0,10.0
1960,10,1960-11-20,United States,Riverside,1960 United States Grand Prix,Race,75,395.325,5.271
1961,1,1961-05-14,Monaco,Monaco,Grand Prix de Monaco 1961,Street,100,314.5,3.145
1961,2,1961-05-22,Netherlands,Zandvoort,Grote Prijs van Nederland 1961,Race,75,314.475,4.193
1961,3,1961-06-18,Belgium,Spa-Francorchamps,1961 Belgian Grand Prix,Road,30,423.0,14.1
1961,4,1961-07-02,France,Reims,Grand Prix de France 1961,Road,52,431.704,8.302
1961,5,1961-07-15,Great Britain,Aintree,1961 RAC British Grand Prix,Road,75,362.1,4.828
1961,6,1961-08-06,Germany,Nurburgring,Grosser Preis von Deutschland 1961,Road,15,342.15,22.81
1961,7,1961-09-10,Italy,Monza,Gran Premio d'Italia 1961,Race,43,430.0,10.0
1961,8,1961-10-08,United States,Watkins Glen,1961 United States Grand Prix,Race,100,378.0,3.78
1962,1,1962-05-20,Netherlands,Zandvoort,Grote Prijs van Nederland 1962,Race,80,335.44,4.193
1962,2,1962-06-03,Monaco,Monaco,Grand Prix de Monaco 1962,Street,100,314.5,3.145
1962,3,1962-06-17,Belgium,Spa-Francorchamps,1962 Belgian Grand Prix,Road,32,451.2,14.1
1962,4,1962-07-08,France,Rouen-Les-Essarts,Grand Prix de France 1962,Road,54,353.268,6.542
1962,5,1962-07-21,Great Britain,Aintree,1962 RAC British Grand Prix,Road,75,362.1,4.828
1962,6,1962-08-05,Germany,Nurburgring,Grosser Preis von Deutschland 1962,Road,15,342.15,22.81
1962,7,1962-09-16,Italy,Monza,Gran Premio d'Italia 1962,Race,86,494.5,5.75
1962,8,1962-10-07,United States,Watkins Glen,1962 United States Grand Prix,Race,100,378.0,3.78
1962,9,1962-12-29,South Africa,East London,South African Grand Prix 1962,Race,82,321.44,3.92
1963,1,1963-05-26,Monaco,Monaco,Grand Prix de Monaco 1963,Street,100,314.5,3.145
1963,2,1963-06-09,Belgium,Spa-Francorchamps,1963 Belgian Grand Prix,Road,32,451.2,14.1
1963,3,1963-06-23,Netherlands,Zandvoort,Grote Prijs van Nederland 1963,Race,80,335.44,4.193
1963,4,1963-06-30,France,Reims,Grand Prix de France 1963,Road,53,440.006,8.302
1963,5,1963-07-20,Great Britain,Silverstone,1963 RAC British Grand Prix,Race,82,386.302,4.711
1963,6,1963-08-04,Germany,Nurburgring,Grosser Preis von Deutschland 1963,Road,15,342.15,22.81
1963,7,1963-09-08,Italy,Monza,Gran Premio d'Italia 1963,Race,86,494.5,5.75
1963,8,1963-10-06,United States,Watkins Glen,1963 United States Grand Prix,Race,110,407.11,3.701
1963,9,1963-10-27,Mexico,Mexico City,Gran Premio de Mexico 1963,Race,65,325.0,5.0
1963,10,1963-12-28,South Africa,East London,South African Grand Prix 1963,Race,85,333.2,3.92
1964,1,1964-05-10,Monaco,Monaco,Grand Prix de Monaco 1964,Street,100,314.5,3.145
1964,2,1964-05-24,Netherlands,Zandvoort,Grote Prijs van Nederland 1964,Race,80,335.44,4.193
1964,3,1964-06-14,Belgium,Spa-Francorchamps,1964 French Grand Prix,Road,32,451.2,14.1
1964,4,1964-06-28,France,Rouen-Les-Essarts,Grand Prix de France 1964,Road,57,372.894,6.542
1964,5,1964-07-11,Great Britain,Brands Hatch,1964 RAC British Grand Prix,Race,80,341.2,4.265
1964,6,1964-08-02,Germany,Nurburgring,Grosser Preis von Deutschland 1964,Road,15,342.15,22.81
1964,7,1964-08-23,Austria,Zeltweg,Grosser Preis von Osterreich 1964,Road,105,336.0,3.2
1964,8,1964-09-06,Italy,Monza,Gran Premio d'Italia 1964,Race,78,448.5,5.75
1964,9,1964-10-04,United States,Watkins Glen,1964 United States Grand Prix,Race,110,407.11,3.701
1964,10,1964-10-25,Mexico,Mexico City,Gran Premio de Mexico 1964,Race,65,325.0,5.0
1965,1,1965-01-01,South Africa,East London,South African Grand Prix 1965,Race,85,333.2,3.92
1965,2,1965-05-30,Monaco,Monaco,Grand Prix de Monaco 1965,Street,100,314.5,3.145
1965,3,1965-06-13,Belgium,Spa-Francorchamps,1965 Belgian Grand Prix,Road,32,451.2,14.1
1965,4,1965-06-27,France,Clermont Ferrand,Grand Prix de France 1965,Road,40,322.2,8.055
1965,5,1965-07-10,Great Britain,Silverstone,1965 RAC British Grand Prix,Race,80,376.88,4.711
1965,6,1965-07-18,Netherlands,Zandvoort,Grote Prijs van Nederland 1965,Race,80,335.44,4.193
1965,7,1965-08-01,Germany,Nurburgring,Grosser Preis von Deutschland 1965,Road,15,342.15,22.81
1965,8,1965-09-12,Italy,Monza,Gran Premio d'Italia 1965,Race,76,437.0,5.75
1965,9,1965-10-03,United States,Watkins Glen,1965 United States Grand Prix,Race,110,415.8,3.78
1965,10,1965-10-24,Mexico,Mexico City,Gran Premio de Mexico 1965,Race,65,325.0,5.0
1966,1,1966-05-22,Monaco,Monaco,Grand Prix de Monaco 1966,Street,100,314.5,3.145
1966,2,1966-06-12,Belgium,Spa-Francorchamps,1966 Belgian Grand Prix,Road,28,394.8,14.1
1966,3,1966-07-03,France,Reims,Grand Prix de France 1966,Road,48,400.704,8.348
1966,4,1966-07-16,Great Britain,Brands Hatch,1966 RAC British Grand Prix,Race,80,341.2,4.265
1966,5,1966-07-24,Netherlands,Zandvoort,Grote Prijs van Nederland 1966,Race,90,382.68,4.252
1966,6,1966-08-07,Germany,Nurburgring,Grosser Preis von Deutschland 1966,Road,15,342.15,22.81
1966,7,1966-09-04,Italy,Monza,Gran Premio d'Italia 1966,Race,68,391.0,5.75
1966,8,1966-10-02,United States,Watkins Glen,1966 United States Grand Prix,Race,108,408.24,3.78
1966,9,1966-10-23,Mexico,Mexico City,Gran Premio de Mexico 1966,Race,65,325.0,5.0
1967,1,1967-01-02,South Africa,Kyalami,South African Grand Prix 1967,Race,80,327.52,4.094
1967,2,1967-05-07,Monaco,Monaco,Grand Prix de Monaco 1967,Street,100,314.5,3.145
1967,3,1967-06-04,Netherlands,Zandvoort,Grote Prijs van Nederland 1967,Race,90,382.68,4.252
1967,4,1967-06-18,Belgium,Spa-Francorchamps,1967 Belgian Grand Prix,Road,28,394.8,14.1
1967,5,1967-07-02,France,Bugatti,Grand Prix de France 1967,Race,80,354.4,4.43
1967,6,1967-07-15,Great Britain,Silverstone,1967 RAC British Grand Prix,Race,80,376.88,4.711
1967,7,1967-08-06,Germany,Nurburgring,Grosser Preis von Deutschland 1967,Road,15,342.525,22.835
1967,8,1967-08-27,Canada,Mosport,Player's Canadian Grand Prix 1967,Race,90,356.13,3.957
1967,9,1967-09-10,Italy,Monza,Gran Premio d'Italia 1967,Race,68,391.0,5.75
1967,10,1967-10-01,United States,Watkins Glen,1967 United States Grand Prix,Race,108,408.24,3.78
1967,11,1967-10-22,Mexico,Mexico City,Gran Premio de Mexico 1967,Race,65,325.0,5.0
1968,1,1968-01-01,South Africa,Kyalami,South African Grand Prix 1968,Race,80,328.32,4.104
1968,2,1968-05-12,Spain,Jarama,Gran Premio de Espana 1968,Race,90,306.36,3.404
1968,3,1968-05-26,Monaco,Monaco,Grand Prix de Monaco 1968,Street,80,251.6,3.145
1968,4,1968-06-09,Belgium,Spa-Francorchamps,1968 Belgian Grand Prix,Road,28,394.8,14.1
1968,5,1968-06-23,Netherlands,Zandvoort,Grote Prijs van Nederland 1968,Race,90,377.37,4.193
1968,6,1968-07-07,France,Rouen-Les-Essarts,Grand Prix de France 1968,Road,60,392.52,6.542
1968,7,1968-07-20,Great Britain,Brands Hatch,1968 RAC British Grand Prix,Race,80,341.2,4.265
1968,8,1968-08-04,Germany,Nurburgring,Grosser Preis von Deutschland 1968,Road,14,319.69,22.835
1968,9,1968-09-08,Italy,Monza,Gran Premio d'Italia 1968,Race,68,391.0,5.75
1968,10,1968-09-22,Canada,Mont-Tremblant,Player's Canadian Grand Prix 1968,Race,90,383.85,4.265
1968,11,1968-10-06,United States,Watkins Glen,1968 United States Grand Prix,Race,108,408.24,3.78
1968,12,1968-11-03,Mexico,Mexico City,Gran Premio de Mexico 1968,Race,65,325.0,5.0
1969,1,1969-03-01,South Africa,Kyalami,South African Grand Prix 1969,Race,80,328.32,4.104
1969,2,1969-05-04,Spain,Montjuic,Gran Premio de Espana 1969,Street,90,341.1,3.79
1969,3,1969-05-18,Monaco,Monaco,Grand Prix de Monaco 1969,Street,80,251.6,3.145
1969,4,1969-06-21,Netherlands,Zandvoort,Grote Prijs van Nederland 1969,Race,90,377.37,4.193
1969,5,1969-07-06,France,Clermont Ferrand,Grand Prix de France 1969,Road,38,306.09,8.055
1969,6,1969-07-19,Great Britain,Silverstone,1969 RAC British Grand Prix,Race,84,395.724,4.711
1969,7,1969-08-03,Germany,Nurburgring,Grosser Preis von Deutschland 1969,Road,14,319.69,22.835
1969,8,1969-09-07,Italy,Monza,Gran Premio d'Italia 1969,Race,68,391.0,5.75
1969,9,1969-09-20,Canada,Mosport,Player's Canadian Grand Prix 1969,Race,90,356.13,3.957
1969,10,1969-10-05,United States,Watkins Glen,1969 United States Grand Prix,Race,108,408.24,3.78
1969,11,1969-10-19,Mexico,Mexico City,Gran Premio de Mexico 1969,Race,65,325.0,5.0
1970,1,1970-03-07,South Africa,Kyalami,South African Grand Prix 1970,Race,80,328.32,4.104
1970,2,1970-04-19,Spain,Jarama,Gran Premio de Espana 1970,Race,90,306.36,3.404
1970,3,1970-05-10,Monaco,Monaco,Grand Prix de Monaco 1970,Street,80,251.6,3.145
1970,4,1970-06-07,Belgium,Spa-Francorchamps,1970 Belgian Grand Prix,Road,28,394.8,14.1
1970,5,1970-06-21,Netherlands,Zandvoort,Grote Prijs van Nederland 1970,Race,80,335.44,4.193
1970,6,1970-07-05,France,Clermont Ferrand,Grand Prix de France 1970,Road,38,306.09,8.055
1970,7,1970-07-18,Great Britain,Brands Hatch,1970 RAC British Grand Prix,Race,80,341.2,4.265
1970,8,1970-08-02,Germany,Hockenheimring,Grosser Preis von Deutschland 1970,Race,50,339.45,6.789
1970,9,1970-08-16,Austria,Spielberg,Grosser Preis von Osterreich 1970,Race,60,354.66,5.911
1970,10,1970-09-06,Italy,Monza,Gran Premio d'Italia 1970,Race,68,391.0,5.75
1970,11,1970-09-20,Canada,Mont-Tremblant,Player's Canadian Grand Prix 1970,Race,90,383.85,4.265
1970,12,1970-10-04,United States,Watkins Glen,1970 United States Grand Prix,Race,108,408.24,3.78
1970,13,1970-10-25,Mexico,Mexico City,Gran Premio de Mexico 1970,Race,65,325.0,5.0
1971,1,1971-03-06,South Africa,Kyalami,South African Grand Prix 1971,Race,79,324.216,4.104
1971,2,1971-04-18,Spain,Montjuic,Gran Premio de Espana 1971,Street,75,284.25,3.79
1971,3,1971-05-23,Monaco,Monaco,Grand Prix de Monaco 1971,Street,80,251.6,3.145
1971,4,1971-06-20,Netherlands,Zandvoort,Grote Prijs van Nederland 1971,Race,70,293.51,4.193
1971,5,1971-07-04,France,Paul Ricard,Grand Prix de France 1971,Race,55,319.495,5.809
1971,6,1971-07-17,Great Britain,Silverstone,1971 Woolmark British Grand Prix,Race,68,320.348,4.711
1971,7,1971-08-01,Germany,Nurburgring,Grosser Preis von Deutschland 1971,Road,12,274.02,22.835
1971,8,1971-08-15,Austria,Spielberg,Grosser Preis von Osterreich 1971,Race,54,319.194,5.911
1971,9,1971-09-05,Italy,Monza,Gran Premio d'Italia 1971,Race,55,316.25,5.75
1971,10,1971-09-19,Canada,Mosport,Player's Canadian Grand Prix 1971,Race,64,253.248,3.957
1971,11,1971-10-03,United States,Watkins Glen,1971 United States Grand Prix,Race,59,320.665,5.435
1972,1,1972-01-23,Argentina,Buenos Aires,Gran Premio de Argentina 1972,Race,95,317.87,3.346
1972,2,1972-03-04,South Africa,Kyalami,South African Grand Prix 1972,Race,79,324.216,4.104
1972,3,1972-05-01,Spain,Jarama,Gran Premio de Espana 1972,Race,90,306.36,3.404
1972,4,1972-05-14,Monaco,Monaco,Grand Prix de Monaco 1972,Street,80,251.6,3.145
1972,5,1972-06-04,Belgium,Nivelles,1972 Belgian Grand Prix,Race,85,316.54,3.724
1972,6,1972-07-02,France,Clermont Ferrand,Grand Prix de France 1972,Road,38,306.09,8.055
1972,7,1972-07-15,Great Britain,Brands Hatch,1972 John Player British Grand Prix,Race,76,324.14,4.265
1972,8,1972-07-30,Germany,Nurburgring,Grosser Preis von Deutschland 1972,Road,14,319.69,22.835
1972,9,1972-08-13,Austria,Spielberg,Grosser Preis von Osterreich 1972,Race,54,319.194,5.911
1972,10,1972-09-10,Italy,Monza,Gran Premio d'Italia 1972,Race,55,317.625,5.775
1972,11,1972-09-24,Canada,Mosport,Labatt's Canadian Grand Prix 1972,Race,80,316.56,3.957
1972,12,1972-10-08,United States,Watkins Glen,1972 United States Grand Prix,Race,59,320.665,5.435
1973,1,1973-01-28,Argentina,Buenos Aires,Gran Premio de Argentina 1973,Race,96,321.216,3.346
1973,2,1973-02-11,Brazil,Interlagos,Grande Premio do Brasil 1973,Race,40,318.4,7.96
1973,3,1973-03-03,South Africa,Kyalami,South African Grand Prix 1973,Race,79,324.216,4.104
1973,4,1973-04-29,Spain,Montjuic,Gran Premio de Espana 1973,Street,75,284.25,3.79
1973,5,1973-05-20,Belgium,Zolder,1973 Belgian Grand Prix,Race,70,295.4,4.22
1973,6,1973-06-03,Monaco,Monaco,Grand Prix de Monaco 1973,Street,78,255.684,3.278
1973,7,1973-06-17,Sweden,Anderstorp,Hitachi Sveriges Grand Prix 1973,Race,80,321.44,4.018
1973,8,1973-07-01,France,Paul Ricard,Grand Prix de France 1973,Race,54,313.686,5.809
1973,9,1973-07-14,Great Britain,Silverstone,1973 John Player British Grand Prix,Race,67,315.637,4.711
1973,10,1973-07-29,Netherlands,Zandvoort,Grote Prijs van Nederland 1973,Race,72,304.272,4.226
1973,11,1973-08-05,Germany,Nurburgring,Grosser Preis von Deutschland 1973,Road,14,319.69,22.835
1973,12,1973-08-19,Austria,Spielberg,Grosser Preis von Osterreich 1973,Race,54,319.194,5.911
1973,13,1973-09-09,Italy,Monza,Gran Premio d'Italia 1973,Race,55,317.625,5.775
1973,14,1973-09-23,Canada,Mosport,Labatt's Canadian Grand Prix 1973,Race,80,316.56,3.957
1973,15,1973-10-07,United States,Watkins Glen,1973 United States Grand Prix,Race,59,320.665,5.435
1974,1,1974-01-13,Argentina,Buenos Aires,Gran Premio de Argentina 1974,Race,53,316.304,5.968
1974,2,1974-01-27,Brazil,Interlagos,Grande Premio do Brasil 1974,Race,32,254.72,7.96
1974,3,1974-03-30,South Africa,Kyalami,Lucky Strike Grand Prix of South Africa 1974,Race,78,320.112,4.104
1974,4,1974-04-28,Spain,Jarama,Gran Premio de Espana 1974,Race,84,285.936,3.404
1974,5,1974-05-12,Belgium,Nivelles,1974 Belgian Grand Prix,Race,85,316.54,3.724
1974,6,1974-05-26,Monaco,Monaco,Grand Prix de Monaco 1974,Street,78,255.684,3.278
1974,7,1974-06-09,Sweden,Anderstorp,Texaco Sveriges Grand Prix 1974,Race,80,321.44,4.018
1974,8,1974-06-23,Netherlands,Zandvoort,Grote Prijs van Nederland 1974,Race,75,316.95,4.226
1974,9,1974-07-07,France,Dijon,Grand Prix de France 1974,Race,80,263.12,3.289
1974,10,1974-07-20,Great Britain,Brands Hatch,1974 John Player British Grand Prix,Race,75,319.875,4.265
1974,11,1974-08-04,Germany,Nurburgring,Grosser Preis von Deutschland 1974,Road,14,319.69,22.835
1974,12,1974-08-18,Austria,Spielberg,Grosser Preis von Osterreich 1974,Race,54,319.194,5.911
1974,13,1974-09-08,Italy,Monza,Gran Premio d'Italia 1974,Race,52,300.56,5.78
1974,14,1974-09-22,Canada,Mosport,Labatt's Canadian Grand Prix 1974,Race,80,316.56,3.957
1974,15,1974-10-06,United States,Watkins Glen,1974 United States Grand Prix,Race,59,320.665,5.435
1975,1,1975-01-12,Argentina,Buenos Aires,Gran Premio de Argentina 1975,Race,53,316.304,5.968
1975,2,1975-01-26,Brazil,Interlagos,Grande Premio do Brasil 1975,Race,40,318.4,7.96
1975,3,1975-03-01,South Africa,Kyalami,Lucky Strike Grand Prix of South Africa 1975,Race,78,320.112,4.104
1975,4,1975-04-27,Spain,Montjuic,Gran Premio de Espana 1975,Street,29,109.91,3.79
1975,5,1975-05-11,Monaco,Monaco,Grand Prix de Monaco 1975,Street,75,245.85,3.278
1975,6,1975-05-25,Belgium,Zolder,1975 Belgian Grand Prix,Race,70,298.34,4.262
1975,7,1975-06-08,Sweden,Anderstorp,Polar Sveriges Grand Prix 1975,Race,80,321.44,4.018
1975,8,1975-06-22,Netherlands,Zandvoort,Grote Prijs van Nederland 1975,Race,75,316.95,4.226
1975,9,1975-07-06,France,Paul Ricard,Grand Prix de France 1975,Race,54,313.686,5.809
1975,10,1975-07-19,Great Britain,Silverstone,1975 John Player British Grand Prix,Race,56,264.264,4.719
1975,11,1975-08-03,Germany,Nurburgring,Grosser Preis von Deutschland 1975,Road,14,319.69,22.835
1975,12,1975-08-17,Austria,Spielberg,Grosser Preis von Osterreich 1975,Race,29,171.419,5.911
1975,13,1975-09-07,Italy,Monza,Gran Premio d'Italia 1975,Race,52,300.56,5.78
1975,14,1975-10-05,United States,Watkins Glen,1975 United States Grand Prix,Race,59,320.665,5.435
1976,1,1976-01-25,Brazil,Interlagos,Grande Premio do Brasil 1976,Race,40,318.4,7.96
1976,2,1976-03-06,South Africa,Kyalami,The Citizen Grand Prix of South Africa 1976,Race,78,320.112,4.104
1976,3,1976-03-28,United States West,Long Beach,1976 Long Beach Grand Prix,Street,80,260.08,3.251
1976,4,1976-05-02,Spain,Jarama,Gran Premio de Espana 1976,Race,75,255.3,3.404
1976,5,1976-05-16,Belgium,Zolder,1976 Belgian Grand Prix,Race,70,298.34,4.262
1976,6,1976-05-30,Monaco,Monaco,Grand Prix de Monaco 1976,Street,78,258.336,3.312
1976,7,1976-06-13,Sweden,Anderstorp,Gislaved Sveriges Grand Prix 1976,Race,72,289.296,4.018
1976,8,1976-07-04,France,Paul Ricard,Grand Prix de France 1976,Race,54,313.686,5.809
1976,9,1976-07-18,Great Britain,Brands Hatch,1976 John Player British Grand Prix,Race,76,319.732,4.207
1976,10,1976-08-01,Germany,Nurburgring,Grosser Preis von Deutschland 1976,Road,14,319.69,22.835
